사고발생	발생장소	프로젝트유형	재해유형	작업	사고원인
2019년 06월 19일	서울시 강동구	공동주택 신축공사	추락 사망	외부비계 해체작업	작업자 안전조치 없이 수직 이동
2020년 08월 23일	대구광역시 달서구	공동주택 균열보수 및 재도장 공사	추락 사망	외부 벽면 도장작업	"벽돌 파손으로 인한 재해자 타격 사망, 달비계 보조 로프 매듭 풀림"
2011년 04월 11일	광주광역시 동구	공동주택 도장작업	추락 사망	외부 벽면 도장작업	달계비 로프 매듭 풀림
2011년 06월 11일	부산광역시 해운대구	교회 증축공사	추락 사망	벽체 형틀작업	벽체와 비계 사이 공간 추락
2022년 06월 09일	경기도 안양시	다목적 체육관 증축공사	추락 사망	시스템 비계 부재 양중	양중된 자재 반입 중 추락
2023년 03월 01일	경상남도 창원시	오피스텔 신축공사	추락 사망	건물 외벽 견축 작업 상태 확인	외벽과 시스템 비계와의 틈 사이로 추락
2022년 04월 15일	부산광역시 사상구	공동주택 균열보수 및 재도장 공사	추락 사망	외부 벽면 도장작업	달비계 지지대 이탈
2023년 08월 01일	제주시	신축공사	추락 사망	외벽 석재 코킹작업	비계 구조 붕괴
2023년 05월 16일	전남 목포시	신축공사	추락 사망	옥상 방수 누름 콘크리트 미장 작업	작업 발판 이동 중 주차타워 환기창 개구부로 추락
2023년 05월 01일	전북 완주군	신축공사	추락 사망	천장 도배작업	이동식비계 작업발판에서 추락 
2022년 08월 01일	경기도 평택시	리모델링	추락 사망	천장 조명 설치작업	이동식비계 작업발판에서 추락 
2017년 08월 12일	포항시 북구	중학교 신축공사	전도 사망	지상작업	강관비계 전도
2018년 03월 31일	광주광역시 남구	공동주택 신축공사	추락 사망	내부 견출작업	이동식 비계 승하강시 미끄러져 추락
2013년 01월 09일	전남 화순군	병원 신축공사	추락 사망	외부 비계 천공작업	작업 발판에서 추락
2015년 07월 04일	충남 천안시		추락 사망	비계 해체작업	비계 구조 붕괴
2016년 5얼 5일	서울시 용산구	용산대교 보수공사	추락 사망	비계 해체작업	비계 이동중 추락
